epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,188.057,0.61962,1.05019,1.12966,0.83957,0.4,0.42367,0.29348,1.77786,2.37485,1.50414,1.43596e-05,1.43596e-05,1.43596e-05
89,190.179,0.71626,0.95261,1.10885,0.83957,0.4,0.42367,0.29348,1.77786,2.37485,1.50414,1.34879e-05,1.34879e-05,1.34879e-05
90,192.311,0.82161,0.71671,1.13247,0.83957,0.4,0.42367,0.29348,1.77786,2.37485,1.50414,1.25927e-05,1.25927e-05,1.25927e-05
91,195.476,0.57413,0.56028,1.02183,0.83957,0.4,0.42367,0.29348,1.77786,2.37485,1.50414,1.16739e-05,1.16739e-05,1.16739e-05
92,197.858,0.57625,0.63642,1.00787,0.84384,0.4,0.42377,0.29262,1.8045,2.41225,1.52029,1.07315e-05,1.07315e-05,1.07315e-05
93,200.18,0.43947,0.52024,0.91544,0.84384,0.4,0.42377,0.29262,1.8045,2.41225,1.52029,9.76562e-06,9.76562e-06,9.76562e-06
94,202.271,0.51574,0.78125,0.99455,0.84384,0.4,0.42377,0.29262,1.8045,2.41225,1.52029,8.77613e-06,8.77613e-06,8.77613e-06
95,204.408,0.52248,0.57078,0.94713,0.84384,0.4,0.42377,0.29262,1.8045,2.41225,1.52029,7.76308e-06,7.76308e-06,7.76308e-06
96,206.558,0.52631,0.59715,1.01959,0.85544,0.4,0.42534,0.28757,1.76472,2.39786,1.4755,6.72648e-06,6.72648e-06,6.72648e-06
97,208.546,0.54923,0.50617,1.00652,0.85544,0.4,0.42534,0.28757,1.76472,2.39786,1.4755,5.6663e-06,5.6663e-06,5.6663e-06
98,210.685,0.56855,0.6877,1.05493,0.85544,0.4,0.42534,0.28757,1.76472,2.39786,1.4755,4.58257e-06,4.58257e-06,4.58257e-06
99,213.042,0.42394,0.54229,0.97593,0.85544,0.4,0.42534,0.28757,1.76472,2.39786,1.4755,3.47528e-06,3.47528e-06,3.47528e-06
100,215.399,0.52732,0.63377,1.0329,0.86407,0.4,0.42514,0.28731,1.74864,2.40538,1.45708,2.34442e-06,2.34442e-06,2.34442e-06
